yearweek_dt,item_id,store_id,unit_sales_train,unit_sales_test,unit_sales,unit_sales_pred,error,error_lower,error_upper,units_pred_lower,units_pred_upper
2011-01-31,FOODS_3_030,TX_3,,,0,,,,,,
2011-02-07,FOODS_3_030,TX_3,,,403,,,,,,
2011-02-14,FOODS_3_030,TX_3,,,301,,,,,,
2011-02-21,FOODS_3_030,TX_3,,,212,,,,,,
2011-02-28,FOODS_3_030,TX_3,,,225,,,,,,
2011-03-07,FOODS_3_030,TX_3,,,85,,,,,,
2011-03-14,FOODS_3_030,TX_3,,,0,,,,,,
2011-03-21,FOODS_3_030,TX_3,,,150,,,,,,
2011-03-28,FOODS_3_030,TX_3,,,161,,,,,,
2011-04-04,FOODS_3_030,TX_3,,,180,,,,,,
2011-04-11,FOODS_3_030,TX_3,226.0,,226,,,,,,
2011-04-18,FOODS_3_030,TX_3,26.0,,26,,,,,,
2011-04-25,FOODS_3_030,TX_3,0.0,,0,,,,,,
2011-05-02,FOODS_3_030,TX_3,0.0,,0,,,,,,
2011-05-09,FOODS_3_030,TX_3,0.0,,0,,,,,,
2011-05-16,FOODS_3_030,TX_3,0.0,,0,,,,,,
2011-05-23,FOODS_3_030,TX_3,0.0,,0,,,,,,
2011-05-30,FOODS_3_030,TX_3,0.0,,0,,,,,,
2011-06-06,FOODS_3_030,TX_3,0.0,,0,,,,,,
2011-06-13,FOODS_3_030,TX_3,0.0,,0,,,,,,
2011-06-20,FOODS_3_030,TX_3,0.0,,0,,,,,,
2011-06-27,FOODS_3_030,TX_3,0.0,,0,,,,,,
2011-07-04,FOODS_3_030,TX_3,0.0,,0,,,,,,
2011-07-11,FOODS_3_030,TX_3,0.0,,0,,,,,,
2011-07-18,FOODS_3_030,TX_3,0.0,,0,,,,,,
2011-07-25,FOODS_3_030,TX_3,0.0,,0,,,,,,
2011-08-01,FOODS_3_030,TX_3,0.0,,0,,,,,,
2011-08-08,FOODS_3_030,TX_3,271.0,,271,,,,,,
2011-08-15,FOODS_3_030,TX_3,244.0,,244,,,,,,
2011-08-22,FOODS_3_030,TX_3,239.0,,239,,,,,,
2011-08-29,FOODS_3_030,TX_3,183.0,,183,,,,,,
2011-09-05,FOODS_3_030,TX_3,219.0,,219,,,,,,
2011-09-12,FOODS_3_030,TX_3,226.0,,226,,,,,,
2011-09-19,FOODS_3_030,TX_3,195.0,,195,,,,,,
2011-09-26,FOODS_3_030,TX_3,223.0,,223,,,,,,
2011-10-03,FOODS_3_030,TX_3,200.0,,200,,,,,,
2011-10-10,FOODS_3_030,TX_3,242.0,,242,,,,,,
2011-10-17,FOODS_3_030,TX_3,191.0,,191,,,,,,
2011-10-24,FOODS_3_030,TX_3,195.0,,195,,,,,,
2011-10-31,FOODS_3_030,TX_3,231.0,,231,,,,,,
2011-11-07,FOODS_3_030,TX_3,229.0,,229,,,,,,
2011-11-14,FOODS_3_030,TX_3,176.0,,176,,,,,,
2011-11-21,FOODS_3_030,TX_3,309.0,,309,,,,,,
2011-11-28,FOODS_3_030,TX_3,169.0,,169,,,,,,
2011-12-05,FOODS_3_030,TX_3,194.0,,194,,,,,,
2011-12-12,FOODS_3_030,TX_3,230.0,,230,,,,,,
2011-12-19,FOODS_3_030,TX_3,256.0,,256,,,,,,
2011-12-26,FOODS_3_030,TX_3,158.0,,158,,,,,,
2012-01-02,FOODS_3_030,TX_3,240.0,,240,,,,,,
2012-01-02,FOODS_3_030,TX_3,240.0,,240,,,,,,
2012-01-09,FOODS_3_030,TX_3,214.0,,214,,,,,,
2012-01-16,FOODS_3_030,TX_3,166.0,,166,,,,,,
2012-01-23,FOODS_3_030,TX_3,209.0,,209,,,,,,
2012-01-30,FOODS_3_030,TX_3,193.0,,193,,,,,,
2012-02-06,FOODS_3_030,TX_3,205.0,,205,,,,,,
2012-02-13,FOODS_3_030,TX_3,63.0,,63,,,,,,
2012-02-20,FOODS_3_030,TX_3,195.0,,195,,,,,,
2012-02-27,FOODS_3_030,TX_3,238.0,,238,,,,,,
2012-03-05,FOODS_3_030,TX_3,303.0,,303,,,,,,
2012-03-12,FOODS_3_030,TX_3,313.0,,313,,,,,,
2012-03-19,FOODS_3_030,TX_3,196.0,,196,,,,,,
2012-03-26,FOODS_3_030,TX_3,191.0,,191,,,,,,
2012-04-02,FOODS_3_030,TX_3,200.0,,200,,,,,,
2012-04-09,FOODS_3_030,TX_3,160.0,,160,,,,,,
2012-04-16,FOODS_3_030,TX_3,164.0,,164,,,,,,
2012-04-23,FOODS_3_030,TX_3,237.0,,237,,,,,,
2012-04-30,FOODS_3_030,TX_3,144.0,,144,,,,,,
2012-05-07,FOODS_3_030,TX_3,194.0,,194,,,,,,
2012-05-14,FOODS_3_030,TX_3,111.0,,111,,,,,,
2012-05-21,FOODS_3_030,TX_3,151.0,,151,,,,,,
2012-05-28,FOODS_3_030,TX_3,181.0,,181,,,,,,
2012-06-04,FOODS_3_030,TX_3,187.0,,187,,,,,,
2012-06-11,FOODS_3_030,TX_3,211.0,,211,,,,,,
2012-06-18,FOODS_3_030,TX_3,144.0,,144,,,,,,
2012-06-25,FOODS_3_030,TX_3,184.0,,184,,,,,,
2012-07-02,FOODS_3_030,TX_3,180.0,,180,,,,,,
2012-07-09,FOODS_3_030,TX_3,220.0,,220,,,,,,
2012-07-16,FOODS_3_030,TX_3,164.0,,164,,,,,,
